Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Betclic 1 Liga ,1,7/29/07,Away,Znicz Pruszkow,Pelikan Lowicz,0:2,CF,90',0:2,Not reported,Not Applicable
Betclic 1 Liga ,2,8/5/07,Home,Znicz Pruszkow,Kmita Zabierzów,4:0,CF,77',4:0,Not reported,Not Applicable
Betclic 1 Liga ,3,8/8/07,Away,Znicz Pruszkow,GKS Katowice,1:2,Not Applicable,16',0:1,Not reported,Not Applicable
Betclic 1 Liga ,4,8/11/07,Away,Znicz Pruszkow,LKS Lomza,2:4,Not Applicable,41',2:2,Penalty,Not Applicable
Betclic 1 Liga ,11,9/19/07,Home,Znicz Pruszkow,GKS Jastrzebie,4:2,Not Applicable,7',1:0,Not reported,Not Applicable
Betclic 1 Liga ,11,9/19/07,Home,Znicz Pruszkow,GKS Jastrzebie,4:2,Not Applicable,84',3:2,Not reported,Not Applicable
Betclic 1 Liga ,11,9/19/07,Home,Znicz Pruszkow,GKS Jastrzebie,4:2,Not Applicable,88',4:2,Not reported,Not Applicable
Betclic 1 Liga ,18,11/4/07,Home,Znicz Pruszkow,Pelikan Lowicz,2:2,Not Applicable,19',1:0,Not reported,Not Applicable
Betclic 1 Liga ,18,11/4/07,Home,Znicz Pruszkow,Pelikan Lowicz,2:2,Not Applicable,70',2:2,Not reported,Not Applicable
Betclic 1 Liga ,21,3/16/08,Home,Znicz Pruszkow,LKS Lomza,3:1,Not Applicable,62',1:0,Not reported,Not Applicable
Betclic 1 Liga ,22,3/22/08,Away,Znicz Pruszkow,Slask Wroclaw,0:3,CF,24',0:1,Not reported,Igor Lewczuk
Betclic 1 Liga ,22,3/22/08,Away,Znicz Pruszkow,Slask Wroclaw,0:3,CF,56',0:3,Not reported,Pawel Kaczmarek
Betclic 1 Liga ,23,3/30/08,Home,Znicz Pruszkow,Stal Stalowa Wola,1:1,Not Applicable,48',1:1,Not reported,Not Applicable
Betclic 1 Liga ,24,4/6/08,Away,Znicz Pruszkow,Arka Gdynia,2:2,Not Applicable,90',2:2,Not reported,Not Applicable
Betclic 1 Liga ,26,4/18/08,Away,Znicz Pruszkow,Piast Gliwice,0:1,Not Applicable,50',0:1,Not reported,Not Applicable
Betclic 1 Liga ,27,4/26/08,Home,Znicz Pruszkow,Wisla Plock,3:1,Not Applicable,54',2:1,Not reported,Not Applicable
Betclic 1 Liga ,27,4/26/08,Home,Znicz Pruszkow,Wisla Plock,3:1,Not Applicable,77',3:1,Not reported,Lukasz Grzeszczyk
Betclic 1 Liga ,29,5/4/08,Home,Znicz Pruszkow,Polonia Warsaw,3:2,Not Applicable,2',1:0,Not reported,Not Applicable
Betclic 1 Liga ,29,5/4/08,Home,Znicz Pruszkow,Polonia Warsaw,3:2,Not Applicable,31',3:1,Not reported,Not Applicable
Betclic 1 Liga ,30,5/7/08,Away,Znicz Pruszkow,Odra Opole,0:1,Not Applicable,50',0:1,Not reported,Not Applicable
Betclic 1 Liga ,31,5/11/08,Home,Znicz Pruszkow,Motor Lublin,3:0,CF,35',2:0,Not reported,Not Applicable
UEFA-Cup Qualifikation ,1.Runde,7/17/08,Away,Lech Poznan,Khazar Lankaran (- 2016),0:1,Not Applicable,76',0:1,Not reported,Slawomir Peszko
Ekstraklasa ,1,8/8/08,Home,Lech Poznan,GKS Belchatow,2:3,Not Applicable,67',2:1,Not reported,Tomasz Bandrowski
UEFA-Cup Qualifikation ,2.Runde,8/14/08,Home,Lech Poznan,Grasshopper Club Zurich,6:0,Not Applicable,14',2:0,Right-footed shot,Hernán Rengifo
UEFA-Cup Qualifikation ,2.Runde,8/14/08,Home,Lech Poznan,Grasshopper Club Zurich,6:0,Not Applicable,56',3:0,Right-footed shot,Semir Stilic
Ekstraklasa ,3,8/23/08,Home,Lech Poznan,Górnik Zabrze,3:0,Not Applicable,10',1:0,Not reported,Semir Stilic
Ekstraklasa ,4,8/31/08,Away,Lech Poznan,Arka Gdynia,2:1,Not Applicable,23',0:1,Not reported,Hernán Rengifo
Ekstraklasa ,5,9/14/08,Away,Lech Poznan,Wisla Kraków,1:4,Not Applicable,8',0:2,Deflected shot on goal,Semir Stilic
Ekstraklasa ,5,9/14/08,Away,Lech Poznan,Wisla Kraków,1:4,Not Applicable,58',1:4,Right-footed shot,Dimitrije Injac
UEFA Cup ,1.Runde,10/2/08,Home,Lech Poznan,Austria Vienna,4:2,CF,99',3:1,Long distance kick,Not Applicable
Ekstraklasa ,10,10/25/08,Home,Lech Poznan,Slask Wroclaw,1:1,Not Applicable,6',1:0,Not reported,Semir Stilic
Ekstraklasa ,11,10/31/08,Home,Lech Poznan,Odra Wodzislaw Slaski,3:1,Not Applicable,53',3:1,Not reported,Not Applicable
Ekstraklasa ,12,11/9/08,Away,Lech Poznan,Lechia Gdansk,0:3,Not Applicable,45',0:1,Not reported,Semir Stilic
Ekstraklasa ,18,3/1/09,Away,Lech Poznan,GKS Belchatow,2:3,Not Applicable,90',2:3,Left-footed shot,Hernán Rengifo
Fortuna Polish Cup ,Viertelfinale,3/4/09,Away,Lech Poznan,Wisla Kraków,0:1,Not Applicable,49',0:1,Right-footed shot,Semir Stilic
Ekstraklasa ,19,3/8/09,Home,Lech Poznan,Jagiellonia Bialystok,1:0,Not Applicable,48',1:0,Left-footed shot,Tomasz Bandrowski
Fortuna Polish Cup ,Viertelfinale,4/8/09,Home,Lech Poznan,Wisla Kraków,2:1,Not Applicable,26',1:0,Right-footed shot,Ivan Djurdjevic
Ekstraklasa ,25,4/26/09,Away,Lech Poznan,Legia Warszawa,1:1,Not Applicable,75',1:1,Not reported,Bartosz Bosacki
Ekstraklasa ,26,5/3/09,Home,Lech Poznan,Ruch Chorzow,1:1,Not Applicable,45',1:0,Right-footed shot,Slawomir Peszko
Ekstraklasa ,27,5/9/09,Away,Lech Poznan,Slask Wroclaw,0:2,Not Applicable,12',0:1,Right-footed shot,Jakub Wilk
Ekstraklasa ,28,5/15/09,Home,Lech Poznan,Lechia Gdansk,1:0,Not Applicable,85',1:0,Header,Rafal Murawski
Superpuchar ,Finale,7/25/09,Away,Lech Poznan,Wisla Kraków,3:4,CF,9',0:1,Right-footed shot,Marcin Kikut
Europa League Qualifying ,3.Runde,7/30/09,Away,Lech Poznan,Fredrikstad FK,1:6,Not Applicable,51',1:4,Right-footed shot,Tomasz Bandrowski
Europa League Qualifying ,3.Runde,8/6/09,Home,Lech Poznan,Fredrikstad FK,1:2,Not Applicable,63',1:2,Header,Semir Stilic
Ekstraklasa ,2,8/9/09,Away,Lech Poznan,Korona Kielce,0:5,Not Applicable,85',0:4,Right-footed shot,Semir Stilic
Ekstraklasa ,2,8/9/09,Away,Lech Poznan,Korona Kielce,0:5,Not Applicable,87',0:5,Left-footed shot,Marcin Kikut
